thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-02032021-005#thread000,n03100240_13397,resolved,normalized exact,validated repeat-source session,1,51fb9a2654a545d549d5816a,Alfa-02032021-002,2020-CosineEvol/2021-03-02-Alfa-refRepr/n03100240_13397.bmp,/targets/51fb9a2654a545d549d5816a.webp,d7c98692851440df56d037b142d4b82f2481086aabae1c3939541165ad74c0ee
Alfa-02032021-006#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,68b06e813e1bb893602c1fa6,Alfa-02032021-002,2020-CosineEvol/2021-03-02-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/68b06e813e1bb893602c1fa6.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-02032021-007#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,68b06e813e1bb893602c1fa6,Alfa-02032021-002,2020-CosineEvol/2021-03-02-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/68b06e813e1bb893602c1fa6.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-04032021-003#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,5740fd5461dad26a384182b4,Alfa-04032021-002,2020-CosineEvol/2021-03-04-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/5740fd5461dad26a384182b4.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-04032021-004#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,5740fd5461dad26a384182b4,Alfa-04032021-002,2020-CosineEvol/2021-03-04-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/5740fd5461dad26a384182b4.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-04032021-005#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,5740fd5461dad26a384182b4,Alfa-04032021-002,2020-CosineEvol/2021-03-04-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/5740fd5461dad26a384182b4.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-09032021-004#thread000,gabor_ori_120_freq_1.00,resolved,normalized exact,validated repeat-source session,1,f5b2bc5357be90a217bd2d32,Alfa-09032021-003,2020-CosineEvol/2021-03-09-Alfa-refRepr/gabor_ori_120_freq_1.00.jpg,/targets/f5b2bc5357be90a217bd2d32.webp,355835a32cfdc8225330caa39bd831b1cda2c0f7c2971e28be95f218a999d5d7
Alfa-09032021-005#thread000,gabor_ori_120_freq_1.00,resolved,normalized exact,validated repeat-source session,1,f5b2bc5357be90a217bd2d32,Alfa-09032021-003,2020-CosineEvol/2021-03-09-Alfa-refRepr/gabor_ori_120_freq_1.00.jpg,/targets/f5b2bc5357be90a217bd2d32.webp,355835a32cfdc8225330caa39bd831b1cda2c0f7c2971e28be95f218a999d5d7
Alfa-09032021-006#thread000,gabor.jpg8,resolved,normalized exact,validated repeat-source session,1,658e1f44fbea963a54dba9cf,Alfa-09032021-003,2020-CosineEvol/2021-03-09-Alfa-refRepr/gabor.jpg8.bmp,/targets/658e1f44fbea963a54dba9cf.webp,8866803ab1246524eb3433189d3ff4df035c65ce5f27cad7a6434bcfa17c324c
Alfa-09032021-007#thread000,gabor.jpg8,resolved,normalized exact,validated repeat-source session,1,658e1f44fbea963a54dba9cf,Alfa-09032021-003,2020-CosineEvol/2021-03-09-Alfa-refRepr/gabor.jpg8.bmp,/targets/658e1f44fbea963a54dba9cf.webp,8866803ab1246524eb3433189d3ff4df035c65ce5f27cad7a6434bcfa17c324c
